year,Distance
1,23.14
1,21.81
1,21.14
1,22.36
1,21.33
1,18.42
1,18.32
1,18.22
1,18.07
1,17.94
1,17.74
1,17.95
1,18.26
1,17
1,16.12
1,16.07
1,15.52
1,15.15
1,14.98
1,15.01
1,15.43
1,15.18
1,15.6
1,14.54
1,14.59
1,14.92
1,14.44
1,14.3
1,14.6
1,14.53
1,14.34
1,14.32
1,13.93
1,14.06
1,14.29
1,14.17
1,14.56
1,14.51
1,14.3
1,14.43
1,13.59
1,14.03
1,14.54
1,14.65
1,13.8
1,14.01
1,14.2
1,14.28
1,14.03
1,14.02
1,14.09
1,14.41
1,14.71
1,14.07
1,13.6
1,14.03
1,13.2
1,14.11
1,13.6
1,13.57
1,13.99
1,13.57
1,12.6
1,12.63
1,12.65
1,10.39
1,9.43
1,9.31
1,7.56
1,8.48
1,14.8
1,7.89
1,9.96
1,7.4
1,9.64
1,7.51
1,7.3
1,6.44
1,7.27
1,8.05
1,7.75
1,9.98
1,7.16
1,2.24
1,7
1,7.14
1,7.3
1,7.03
1,6.95
1,7.06
1,7.21
1,10.03
1,7.13
1,8.8
1,7.23
1,7.03
1,7.03
1,6.76
1,6.71
1,7.03
1,6.74
1,7.1
1,6.68
1,6.86
1,3.25
1,6.54
1,7.71
1,6.55
1,6.42
1,6.1
1,6.27
1,6.31
1,7.82
1,7.33
1,7.32
1,6.19
1,5.75
1,7.05
1,5.39
1,6.02
1,5.85
1,4.64
1,5.42
1,3.99
1,4.9
1,3.44
1,3.9
1,3.88
1,3.95
1,3.37
1,4.06
1,3.68
1,3.87
1,3.86
1,3.1
1,2.62
1,3.39
1,3.15
1,3.17
1,3.65
1,3.9
1,3.02
1,3.93
1,3.94
1,2.7
1,2.54
1,2.28
1,2.5
1,2.24
1,2.27
1,2.25
1,2.96
1,2.38
1,3.01
1,1.94
1,2.12
1,2.98
1,3.02
1,2.38
1,2.32
1,2.27
2,22.48
2,21.62
2,19.51
2,19.08
2,6.34
2,18.76
2,17.76
2,17.93
2,17.7
2,9.27
2,18.33
2,17.01
2,14.69
2,14.66
2,13.88
2,14.4
2,14.57
2,14.61
2,14.53
2,13.3
2,14.42
2,13.67
2,14.44
2,14.58
2,14.62
2,14.53
2,14.71
2,14.16
2,14.13
2,14.18
2,14.18
2,14.26
2,13.66
2,14.29
2,13.57
2,14.02
2,14.15
2,13.01
2,14.31
2,13.59
2,13.67
2,13.66
2,12.84
2,13.01
2,13.51
2,13.84
2,12.26
2,13.01
2,12.11
2,12.34
2,12.59
2,13.07
2,12.62
2,12.57
2,12.75
2,12.25
2,12.7
2,12.42
2,12.58
2,12.13
2,12.42
2,11.98
2,12.49
2,11.25
2,12.2
2,11.66
2,11.25
2,11.47
2,11.81
2,10.82
2,10.66
2,10.81
2,10.12
2,9.85
2,10.1
2,10.01
2,9.67
2,9.43
2,8.13
2,9.22
2,8.36
2,7.86
2,7.99
2,7.45
2,7.56
2,9.88
2,7.86
2,7.54
2,9.64
2,7.11
2,7.57
2,7.23
2,7.5
2,7.62
2,10.16
2,7.19
2,7.04
2,6.99
2,6.86
2,6.83
2,6.99
2,6.7
