id,year,Distance
1,1,23.14
2,1,21.81
3,1,21.14
4,1,22.36
5,1,21.33
6,1,18.42
7,1,18.32
8,1,18.22
9,1,18.07
10,1,17.94
11,1,17.74
12,1,17.95
13,1,18.26
14,1,17
15,1,16.12
16,1,16.07
17,1,15.52
18,1,15.15
19,1,14.98
20,1,15.01
21,1,15.43
22,1,15.18
23,1,15.6
24,1,14.54
25,1,14.59
26,1,14.92
27,1,14.44
28,1,14.3
29,1,14.6
30,1,14.53
31,1,14.34
32,1,14.32
33,1,13.93
34,1,14.06
35,1,14.29
36,1,14.17
37,1,14.56
38,1,14.51
39,1,14.3
40,1,14.43
41,1,13.59
42,1,14.03
43,1,14.54
44,1,14.65
45,1,13.8
46,1,14.01
47,1,14.2
48,1,14.28
49,1,14.03
50,1,14.02
51,1,14.09
52,1,14.41
53,1,14.71
54,1,14.07
55,1,13.6
56,1,14.03
57,1,13.2
58,1,14.11
59,1,13.6
60,1,13.57
61,1,13.99
62,1,13.57
63,1,12.6
64,1,12.63
65,1,12.65
66,1,10.39
67,1,9.43
68,1,9.31
69,1,7.56
70,1,8.48
71,1,14.8
72,1,7.89
73,1,9.96
74,1,7.4
75,1,9.64
76,1,7.51
77,1,7.3
78,1,6.44
79,1,7.27
80,1,8.05
81,1,7.75
82,1,9.98
83,1,7.16
84,1,2.24
85,1,7
86,1,7.14
87,1,7.3
88,1,7.03
89,1,6.95
90,1,7.06
91,1,7.21
92,1,10.03
93,1,7.13
94,1,8.8
95,1,7.23
96,1,7.03
97,1,7.03
98,1,6.76
99,1,6.71
100,1,7.03
101,1,6.74
102,1,7.1
103,1,6.68
104,1,6.86
105,1,3.25
106,1,6.54
107,1,7.71
108,1,6.55
109,1,6.42
110,1,6.1
111,1,6.27
112,1,6.31
113,1,7.82
114,1,7.33
115,1,7.32
116,1,6.19
117,1,5.75
118,1,7.05
119,1,5.39
120,1,6.02
121,1,5.85
122,1,4.64
123,1,5.42
124,1,3.99
125,1,4.9
126,1,3.44
127,1,3.9
128,1,3.88
129,1,3.95
130,1,3.37
131,1,4.06
132,1,3.68
133,1,3.87
134,1,3.86
135,1,3.1
136,1,2.62
137,1,3.39
138,1,3.15
139,1,3.17
140,1,3.65
141,1,3.9
142,1,3.02
143,1,3.93
144,1,3.94
145,1,2.7
146,1,2.54
147,1,2.28
148,1,2.5
149,1,2.24
150,1,2.27
151,1,2.25
152,1,2.96
153,1,2.38
154,1,3.01
155,1,1.94
156,1,2.12
157,1,2.98
158,1,3.02
159,1,2.38
160,1,2.32
161,1,2.27
162,2,22.48
163,2,21.62
164,2,19.51
165,2,19.08
166,2,6.34
167,2,18.76
168,2,17.76
169,2,17.93
170,2,17.7
171,2,9.27
172,2,18.33
173,2,17.01
174,2,14.69
175,2,14.66
176,2,13.88
177,2,14.4
178,2,14.57
179,2,14.61
180,2,14.53
181,2,13.3
182,2,14.42
183,2,13.67
184,2,14.44
185,2,14.58
186,2,14.62
187,2,14.53
188,2,14.71
189,2,14.16
190,2,14.13
191,2,14.18
192,2,14.18
193,2,14.26
194,2,13.66
195,2,14.29
196,2,13.57
197,2,14.02
198,2,14.15
199,2,13.01
200,2,14.31
201,2,13.59
202,2,13.67
203,2,13.66
204,2,12.84
205,2,13.01
206,2,13.51
207,2,13.84
208,2,12.26
209,2,13.01
210,2,12.11
211,2,12.34
212,2,12.59
213,2,13.07
214,2,12.62
215,2,12.57
216,2,12.75
217,2,12.25
218,2,12.7
219,2,12.42
220,2,12.58
221,2,12.13
222,2,12.42
223,2,11.98
224,2,12.49
225,2,11.25
226,2,12.2
227,2,11.66
228,2,11.25
229,2,11.47
230,2,11.81
231,2,10.82
232,2,10.66
233,2,10.81
234,2,10.12
235,2,9.85
236,2,10.1
237,2,10.01
238,2,9.67
239,2,9.43
240,2,8.13
241,2,9.22
242,2,8.36
243,2,7.86
244,2,7.99
245,2,7.45
246,2,7.56
247,2,9.88
248,2,7.86
249,2,7.54
250,2,9.64
251,2,7.11
252,2,7.57
253,2,7.23
254,2,7.5
255,2,7.62
256,2,10.16
257,2,7.19
258,2,7.04
259,2,6.99
260,2,6.86
261,2,6.83
262,2,6.99
263,2,6.7
264,2,6.72
265,2,6.57
266,2,6.69
267,2,6.71
268,2,6.8
269,2,6.49
270,2,5.83
271,2,6.55
